"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","Synergeio","src/Synergeio/AllagiFterou.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"2","Synergeio","src/Synergeio/AllagiFterou.java","3","8","Parameter 'etos' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","Synergeio","src/Synergeio/AllagiFterou.java","3","8","Parameter 'lepta' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"4","Synergeio","src/Synergeio/AllagiFterou.java","3","8","Parameter 'mera' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"5","Synergeio","src/Synergeio/AllagiFterou.java","3","8","Parameter 'mhnas' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","Synergeio","src/Synergeio/AllagiFterou.java","3","8","Parameter 'wra' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","Synergeio","src/Synergeio/AllagiFwtwn.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"8","Synergeio","src/Synergeio/AllagiFwtwn.java","3","8","Parameter 'etos' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"9","Synergeio","src/Synergeio/AllagiFwtwn.java","3","8","Parameter 'lepta' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","Synergeio","src/Synergeio/AllagiFwtwn.java","3","8","Parameter 'mera' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","Synergeio","src/Synergeio/AllagiFwtwn.java","3","8","Parameter 'mhnas' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","Synergeio","src/Synergeio/AllagiFwtwn.java","3","8","Parameter 'wra' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","Synergeio","src/Synergeio/AllagiLadiwn.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"14","Synergeio","src/Synergeio/AllagiLadiwn.java","3","9","Parameter 'etos' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"15","Synergeio","src/Synergeio/AllagiLadiwn.java","3","9","Parameter 'lepta' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"16","Synergeio","src/Synergeio/AllagiLadiwn.java","3","9","Parameter 'mera' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"17","Synergeio","src/Synergeio/AllagiLadiwn.java","3","9","Parameter 'mhnas' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"18","Synergeio","src/Synergeio/AllagiLadiwn.java","3","9","Parameter 'wra' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","Synergeio","src/Synergeio/Customer.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"20","Synergeio","src/Synergeio/Customer.java","3","9","Avoid excessively long variable names like asfalistikhEtairia","Naming Rules","LongVariable"
"21","Synergeio","src/Synergeio/Customer.java","3","11","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"22","Synergeio","src/Synergeio/Customer.java","3","11","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"23","Synergeio","src/Synergeio/Customer.java","3","11","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"24","Synergeio","src/Synergeio/Customer.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"25","Synergeio","src/Synergeio/Customer.java","3","11","Private field 'ergasies' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"26","Synergeio","src/Synergeio/Customer.java","3","11","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"27","Synergeio","src/Synergeio/Customer.java","3","13","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"28","Synergeio","src/Synergeio/Customer.java","3","13","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"29","Synergeio","src/Synergeio/Customer.java","3","13","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"30","Synergeio","src/Synergeio/Customer.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"31","Synergeio","src/Synergeio/Customer.java","3","13","Private field 'istoriko' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"32","Synergeio","src/Synergeio/Customer.java","3","13","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"33","Synergeio","src/Synergeio/Customer.java","3","16","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"34","Synergeio","src/Synergeio/Customer.java","3","16","Parameter 'AT' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"35","Synergeio","src/Synergeio/Customer.java","3","16","Parameter 'asfalisikh' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"36","Synergeio","src/Synergeio/Customer.java","3","16","Parameter 'dieythinsi' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"37","Synergeio","src/Synergeio/Customer.java","3","16","Parameter 'epitheto' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"38","Synergeio","src/Synergeio/Customer.java","3","16","Parameter 'onoma' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"39","Synergeio","src/Synergeio/Customer.java","3","22","Avoid variables with short names like e","Naming Rules","ShortVariable"
"40","Synergeio","src/Synergeio/Customer.java","3","27","Avoid variables with short names like e","Naming Rules","ShortVariable"
"41","Synergeio","src/Synergeio/Customer.java","3","32","Avoid variables with short names like i","Naming Rules","ShortVariable"
"42","Synergeio","src/Synergeio/Customer.java","3","37","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"43","Synergeio","src/Synergeio/Customer.java","3","37","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"44","Synergeio","src/Synergeio/Customer.java","3","37","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
